FloorAreas
301.611652
301.611652
301.611652
301.611652
301.611652
301.611652
301.611652
301.611652
301.611652
301.611652
467.054437
467.054437
467.054437
301.611652
301.611652
301.611652
467.054437
467.054437
301.611652
301.611652
301.611652
301.611652
699.611652
699.611652
301.611652
301.611652
301.611652
301.611652
301.611652
301.611652
699.611652
699.611652
301.611652
301.611652
301.611652
301.611652
301.611652
301.611652
301.611652
301.611652
301.611652
301.611652
699.611652
699.611652
699.611652
699.611652
699.611652
699.611652
699.611652
699.611652
